arabic_instruction,instruction
كم عدد المستخدمين الزائفين المتميزين الذين لديهم وقت تفاعل إيجابي في فترة السبعة أيام المنتهية في 7 يناير 2021 الساعة 23:59:59، ولكن لم يكن لديهم وقت تفاعل إيجابي في فترة اليومين المنتهية في نفس التاريخ (7 يناير 2021 الساعة 23:59:59 )؟,"How many distinct pseudo users had positive engagement time  in the 7-day period ending on January 7, 2021 at 23:59:59, but had no positive engagement time in the 2-day period ending on the same date (January 7, 2021 at 23:59:59) ?"
"اعثر على المنتج الأكثر مبيعًا بين العملاء الذين اشتروا ""Youtube Men's Vintage Henley"" في يوليو 2017، باستثناء نفسه.","Find the top-selling product among customers who bought 'Youtube Men’s Vintage Henley' in July 2017, excluding itself."
ما هو مصدر حركة المرور الذي يحصل على أعلى إيرادات في عام 2017 وما هو الفرق (الملايين، مقربة إلى منزلتين عشريتين) بين أعلى وأدنى أشهر الإيرادات ؟,"Which traffic source receives the top revenue in 2017 and what is the difference (millions, rounded to two decimal places) between its highest and lowest revenue months?"
أتساءل عن عدد الأيام بين المعاملة الأولى والزيارة الأولى في كل من فبراير 2017 لكل زائر متعامل، إلى جانب الجهاز المستخدم في المعاملة.,"I wonder how many days between the first transaction and the first visit both in Feburary 2017 for each transacting visitor, along with the device used in the transaction."
ما هو الحد الأقصى لإيرادات المنتجات الشهرية والأسبوعية واليومية (بالملايين) الناتجة عن مصدر حركة المرور الأفضل أداءً في النصف الأول من عام 2017 ؟,"What's the maximum monthly, weekly, and daily product revenues (in millions) generated by the top-performing traffic source in the first half of 2017?"
قارن متوسط مشاهدات الصفحة لكل زائر بين جلسات الشراء وعدم الشراء لكل شهر من أبريل إلى يوليو في عام 2017.,Compare the average pageviews per visitor between purchase and non-purchase sessions for each month from April to July in 2017.
ما هو المنتج الأكثر شيوعًا الذي تم شراؤه في يوليو 2017 مع المستهلكين الذين اشتروا منتجات ذات صلة بـ YouTube ؟,What's the most popular other purchased product in July 2017 with consumers who bought products relevant to YouTube?
"ما هي الصفحة التالية الأكثر شيوعًا للزوار الذين كانوا جزءًا من حملة ""مشاركة البيانات"" وبعد وصولهم إلى الصفحة التي تبدأ بـ ""/ الصفحة الرئيسية ""في يناير 2017. وما هو الحد الأقصى للمدة الزمنية (بالثواني) عند زيارتهم للصفحة الرئيسية المقابلة ؟","What's the most common next page for visitors who were part of ""Data Share"" campaign and after they accessed the page starting with '/home' in January 2017. And what's the maximum duration time (in seconds) when they visit the corresponding home page?"
احسب متوسط مشاهدات الصفحة لكل زائر لفعاليات عدم الشراء وفعاليات الشراء كل شهر بين 1 يونيو و 31 يوليو في عام 2017.,Compute the average pageviews per visitor for non-purchase events and purchase events each month between June 1st and July 31st in 2017.
تحديد أطول عدد من الأيام بين الزيارة الأولى وآخر حدث مسجل (إما آخر زيارة أو أول معاملة) للمستخدم حيث كان آخر حدث مسجل مرتبطًا بجهاز محمول.,Identify the longest number of days between the first visit and the last recorded event (either the last visit or the first transaction) for a user where the last recorded event was associated with a mobile device.
